epoch,step,test/acc,test/f1,test/loss,train/acc,train/f1,train/loss,val/acc,val/f1,val/loss
0,12,,,,,,,0.15463916957378387,0.12462102621793747,2.3125879764556885
0,12,,,,0.13695091009140015,0.07954428344964981,2.4905545711517334,,,
1,25,,,,,,,0.20618556439876556,0.1689009666442871,2.1935875415802
1,25,,,,0.18087854981422424,0.14867372810840607,2.306370258331299,,,
2,38,,,,,,,0.1855670064687729,0.16269023716449738,2.213001251220703
2,38,,,,0.19121447205543518,0.1619051694869995,2.2796669006347656,,,
3,51,,,,,,,0.23711340129375458,0.19495171308517456,2.149454355239868
3,51,,,,0.21705426275730133,0.17704914510250092,2.212310314178467,,,
4,64,,,,,,,0.24742268025875092,0.19420014321804047,2.1729531288146973
4,64,,,,0.19896641373634338,0.16974523663520813,2.205784797668457,,,
5,77,,,,,,,0.20618556439876556,0.18226733803749084,2.1769092082977295
5,77,,,,0.24031007289886475,0.2185092270374298,2.139080286026001,,,
6,90,,,,,,,0.2989690601825714,0.26340532302856445,2.1446969509124756
6,90,,,,0.2144702821969986,0.17860539257526398,2.1554369926452637,,,
7,103,,,,,,,0.22680412232875824,0.1868218332529068,2.1224734783172607
7,103,,,,0.2067183405160904,0.16607129573822021,2.1483495235443115,,,
8,116,,,,,,,0.17525772750377655,0.16551680862903595,2.0852015018463135
8,116,,,,0.2661498785018921,0.23809917271137238,2.077808380126953,,,
9,129,,,,,,,0.1855670064687729,0.16373008489608765,2.099159002304077
9,129,,,,0.2739018201828003,0.24890784919261932,2.0595762729644775,,,
10,130,0.17322835326194763,0.19213110208511353,2.293532371520996,,,,,,
